semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,LA1003,Anh văn 1,2,BẮT BUỘC,,True
1,MT1007,Đại số Tuyến tính,3,BẮT BUỘC,,True
1,MT1003,Giải tích 1,4,BẮT BUỘC,,True
1,PH1003,Vật lý 1,4,BẮT BUỘC,,True
1,PH1007,Thí nghiệm Vật lý,1,BẮT BUỘC,,True
1,EE1001,Nhập môn Về kỹ Thuật,3,BẮT BUỘC,,True
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1061,Pickleball (học phần 1),0,Thể dục (Chọn 1),PE,False
2,LA1005,Anh văn 2,2,BẮT BUỘC,,True
2,MT1005,Giải tích 2,4,BẮT BUỘC,,True
2,EE1007,Vật lý Bán dẫn,4,BẮT BUỘC,,True
2,MT1009,Phương pháp tính,3,BẮT BUỘC,,True
2,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
2,MI1003,Giáo dục Quốc phòng,0,BẮT BUỘC,,True
2,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1041,Cầu lông (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1033,Bóng đá (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1045,Aerobic (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1043,Bơi (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1039,Bóng rổ (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1035,Bóng chuyền (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1049,Điền kinh (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1051,Quần vợt (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1055,Cờ vua (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1063,Pickleball (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1059,Bowling (học phần 2),0,Thể dục (Chọn 1),PE,False
3,LA1007,Anh văn 3,2,BẮT BUỘC,,True
3,MT2013,Xác suất và Thống kê,4,BẮT BUỘC,,True
3,EE2033,Giải tích mạch,3,BẮT BUỘC,,True
3,EE1009,Kỹ thuật số,3,BẮT BUỘC,,True
3,EE2081,Ngôn ngữ lập trình,3,BẮT BUỘC,,True
3,SP1007,Pháp luật Việt Nam Đại cương,2,BẮT BUỘC,,True
4,LA1009,Anh văn 4,2,BẮT BUỘC,,True
4,EE2017,Cơ sở Kỹ thuật điện,3,BẮT BUỘC,,True
4,EE2003,Trường điện từ,3,BẮT BUỘC,,True
4,EE2039,Vi xử lý,3,BẮT BUỘC,,True
4,EE2035,Mạch điện tử,3,BẮT BUỘC,,True
4,SP1031,Triết học Mác - Lênin,3,BẮT BUỘC,,True
5,EE2021,Cơ sở Điện tử Công suất,3,BẮT BUỘC,,True
5,EE2019,Cơ sở Điều khiển Tự động,3,BẮT BUỘC,,True
5,EE3195,Hệ thống điện 1,3,BẮT BUỘC,,True
5,EE2025,Thực tập Điện 1,1,BẮT BUỘC,,True
