semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,MT1011,Giải tích 1,4,BẮT BUỘC,,True
1,MT1015,Đại số Tuyến tính,3,BẮT BUỘC,,True
1,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
1,LA1003,Anh văn 1,2,BẮT BUỘC,,True
1,LA1011,Pháp văn 1,2,BẮT BUỘC,,True
1,MA1001,Nhập môn Về Kỹ thuật,3,BẮT BUỘC,,True
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1061,Pickleball (học phần 1),0,Thể dục (Chọn 1),PE,False
2,MT1013,Giải tích 2,4,BẮT BUỘC,,True
2,PH1009,Vật lý 1,4,BẮT BUỘC,,True
2,LA1005,Anh văn 2,2,BẮT BUỘC,,True
2,LA1013,Pháp văn 2,2,BẮT BUỘC,,True
2,SP1007,Pháp luật Việt Nam Đại cương,2,BẮT BUỘC,,True
2,EN1003,Con người và Môi trường,3,BẮT BUỘC,,True
2,MI1003,Giáo dục Quốc phòng,0,BẮT BUỘC,,True
2,PE1033,Bóng đá (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1035,Bóng chuyền (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1039,Bóng rổ (Học phần 2),0,Thể dục (Chọn 1),PE,False
